"","Combination","CV_C_L","CV_C_R","CV_S_L","CV_S_R","phi_C_L2R","phi_S_L2R","phi_S2C_L","phi_S2C_R","combo_type","cv_diff","taxa"
"1","Glacier-fed_Glacier-fed_Glacier-fed",0.700020700934317,0.700020700934317,0.796530478938963,0.796530478938963,1,1,0.87883730684957,0.878837306849571,"Homogenous",-1.11022302462516e-16,"fish"
"2","Glacier-fed_Glacier-fed_Rain-fed",0.705575311647574,0.574966140360393,0.826014219080003,0.822519367760068,0.814889822346252,0.995769017966995,0.854192694689238,0.699030518790303,"2:1",0.130609171287181,"fish"
"3","Glacier-fed_Glacier-fed_Snow-fed",0.767114009353763,0.690697316015104,0.859173802763936,0.827411174055871,0.900384177049466,0.963031195078474,0.892850790941227,0.834769142202163,"2:1",0.0764166933386584,"fish"
"4","Glacier-fed_Rain-fed_Rain-fed",0.714744278382783,0.465914495565055,0.874682874101592,0.866477555337884,0.651861805202915,0.990619092923094,0.817146762038657,0.537710980157324,"2:1",0.248829782817727,"fish"
"5","Glacier-fed_Rain-fed_Snow-fed",0.798411716274424,0.524012645606856,0.922923106016531,0.771021415480175,0.656318832659448,0.835412409174601,0.865090180394859,0.679634359157861,"Heterogenous",0.274399070667568,"fish"
"6","Glacier-fed_Snow-fed_Snow-fed",0.895099158401775,0.75216842294834,0.978670296907285,0.898723355228283,0.840318545591483,0.918310648712193,0.914607464056481,0.836929872326821,"2:1",0.142930735453435,"fish"
"7","Rain-fed_Rain-fed_Rain-fed",0.73275660876647,0.73275660876647,0.970291890787445,0.970291890787445,1,1,0.755191933194246,0.755191933194246,"Homogenous",0,"fish"
"8","Rain-fed_Rain-fed_Snow-fed",0.863242285934975,0.555062104749536,1.05497443028146,0.79346434502073,0.642996889509821,0.752117134070293,0.818258965484756,0.699542592219484,"2:1",0.308180181185439,"fish"
"9","Rain-fed_Snow-fed_Snow-fed",1.02626789792539,0.707344762907916,1.16077472289201,0.885723100174353,0.689239880091564,0.763044786130096,0.884123230533912,0.798607107310034,"2:1",0.318923135017472,"fish"
"10","Snow-fed_Snow-fed_Snow-fed",1.23573933422255,1.23573933422255,1.29671740688632,1.29671740688632,1,1,0.952975048888879,0.952975048888879,"Homogenous",0,"fish"
